infinitive,infinitive_english,indicative__present__form_1s,indicative__present__form_2s,indicative__present__form_3s,indicative__present__form_1p,indicative__present__form_2p,indicative__present__form_3p,indicative__present__gerund,indicative__present__pastparticiple,indicative__future__form_1s,indicative__future__form_2s,indicative__future__form_3s,indicative__future__form_1p,indicative__future__form_2p,indicative__future__form_3p,indicative__future__gerund,indicative__future__pastparticiple,indicative__imperfect__form_1s,indicative__imperfect__form_2s,indicative__imperfect__form_3s,indicative__imperfect__form_1p,indicative__imperfect__form_2p,indicative__imperfect__form_3p,indicative__imperfect__gerund,indicative__imperfect__pastparticiple,indicative__preterite__form_1s,indicative__preterite__form_2s,indicative__preterite__form_3s,indicative__preterite__form_1p,indicative__preterite__form_2p,indicative__preterite__form_3p,indicative__preterite__gerund,indicative__preterite__pastparticiple,indicative__conditional__form_1s,indicative__conditional__form_2s,indicative__conditional__form_3s,indicative__conditional__form_1p,indicative__conditional__form_2p,indicative__conditional__form_3p,indicative__conditional__gerund,indicative__conditional__pastparticiple,indicative__present_perfect__form_1s,indicative__present_perfect__form_2s,indicative__present_perfect__form_3s,indicative__present_perfect__form_1p,indicative__present_perfect__form_2p,indicative__present_perfect__form_3p,indicative__present_perfect__gerund,indicative__present_perfect__pastparticiple,indicative__future_perfect__form_1s,indicative__future_perfect__form_2s,indicative__future_perfect__form_3s,indicative__future_perfect__form_1p,indicative__future_perfect__form_2p,indicative__future_perfect__form_3p,indicative__future_perfect__gerund,indicative__future_perfect__pastparticiple,indicative__past_perfect__form_1s,indicative__past_perfect__form_2s,indicative__past_perfect__form_3s,indicative__past_perfect__form_1p,indicative__past_perfect__form_2p,indicative__past_perfect__form_3p,indicative__past_perfect__gerund,indicative__past_perfect__pastparticiple,indicative__preterite_(archaic)__form_1s,indicative__preterite_(archaic)__form_2s,indicative__preterite_(archaic)__form_3s,indicative__preterite_(archaic)__form_1p,indicative__preterite_(archaic)__form_2p,indicative__preterite_(archaic)__form_3p,indicative__preterite_(archaic)__gerund,indicative__preterite_(archaic)__pastparticiple,indicative__conditional_perfect__form_1s,indicative__conditional_perfect__form_2s,indicative__conditional_perfect__form_3s,indicative__conditional_perfect__form_1p,indicative__conditional_perfect__form_2p,indicative__conditional_perfect__form_3p,indicative__conditional_perfect__gerund,indicative__conditional_perfect__pastparticiple,subjunctive__present__form_1s,subjunctive__present__form_2s,subjunctive__present__form_3s,subjunctive__present__form_1p,subjunctive__present__form_2p,subjunctive__present__form_3p,subjunctive__present__gerund,subjunctive__present__pastparticiple,subjunctive__imperfect__form_1s,subjunctive__imperfect__form_2s,subjunctive__imperfect__form_3s,subjunctive__imperfect__form_1p,subjunctive__imperfect__form_2p,subjunctive__imperfect__form_3p,subjunctive__imperfect__gerund,subjunctive__imperfect__pastparticiple,subjunctive__future__form_1s,subjunctive__future__form_2s,subjunctive__future__form_3s,subjunctive__future__form_1p,subjunctive__future__form_2p,subjunctive__future__form_3p,subjunctive__future__gerund,subjunctive__future__pastparticiple,subjunctive__present_perfect__form_1s,subjunctive__present_perfect__form_2s,subjunctive__present_perfect__form_3s,subjunctive__present_perfect__form_1p,subjunctive__present_perfect__form_2p,subjunctive__present_perfect__form_3p,subjunctive__present_perfect__gerund,subjunctive__present_perfect__pastparticiple,subjunctive__future_perfect__form_1s,subjunctive__future_perfect__form_2s,subjunctive__future_perfect__form_3s,subjunctive__future_perfect__form_1p,subjunctive__future_perfect__form_2p,subjunctive__future_perfect__form_3p,subjunctive__future_perfect__gerund,subjunctive__future_perfect__pastparticiple,subjunctive__past_perfect__form_1s,subjunctive__past_perfect__form_2s,subjunctive__past_perfect__form_3s,subjunctive__past_perfect__form_1p,subjunctive__past_perfect__form_2p,subjunctive__past_perfect__form_3p,subjunctive__past_perfect__gerund,subjunctive__past_perfect__pastparticiple,imperative_affirmative__present__form_2s,imperative_affirmative__present__form_3s,imperative_affirmative__present__form_2p,imperative_affirmative__present__form_3p,imperative_affirmative__present__gerund,imperative_affirmative__present__pastparticiple,imperative_negative__present__form_2s,imperative_negative__present__form_3s,imperative_negative__present__form_2p,imperative_negative__present__form_3p,imperative_negative__present__gerund,imperative_negative__present__pastparticiple,infinitive_simple,id
abandonar,"to abandon, leave behind, desert; to quit, give up",abandono,abandonas,abandona,abandonamos,abandonáis,abandonan,abandonando,abandonado,abandonaré,abandonarás,abandonará,abandonaremos,abandonaréis,abandonarán,abandonando,abandonado,abandonaba,abandonabas,abandonaba,abandonábamos,abandonabais,abandonaban,abandonando,abandonado,abandoné,abandonaste,abandonó,abandonamos,abandonasteis,abandonaron,abandonando,abandonado,abandonaría,abandonarías,abandonaría,abandonaríamos,abandonaríais,abandonarían,abandonando,abandonado,he abandonado,has abandonado,ha abandonado,hemos abandonado,habéis abandonado,han abandonado,abandonando,abandonado,habré abandonado,habrás abandonado,habrá abandonado,habremos abandonado,habréis abandonado,habrán abandonado,abandonando,abandonado,había abandonado,habías abandonado,había abandonado,habíamos abandonado,habíais abandonado,habían abandonado,abandonando,abandonado,hube abandonado,hubiste abandonado,hubo abandonado,hubimos abandonado,hubisteis abandonado,hubieron abandonado,abandonando,abandonado,habría abandonado,habrías abandonado,habría abandonado,habríamos abandonado,habríais abandonado,habrían abandonado,abandonando,abandonado,abandone,abandones,abandone,abandonemos,abandonéis,abandonen,abandonando,abandonado,abandonara,abandonaras,abandonara,abandonáramos,abandonarais,abandonaran,abandonando,abandonado,abandonare,abandonares,abandonare,abandonáremos,abandonareis,abandonaren,abandonando,abandonado,haya abandonado,hayas abandonado,haya abandonado,hayamos abandonado,hayáis abandonado,hayan abandonado,abandonando,abandonado,hubiere abandonado,hubieres abandonado,hubiere abandonado,hubiéremos abandonado,hubiereis abandonado,hubieren abandonado,abandonando,abandonado,hubiera abandonado,hubieras abandonado,hubiera abandonado,hubiéramos abandonado,hubierais abandonado,hubieran abandonado,abandonando,abandonado,abandona,abandonad,abandone,abandonen,abandonando,abandonado,no abandones,no abandonéis,no abandone,no abandonen,abandonando,abandonado,abandonar,1
abordar,"to board, get on [plane, bus, etc.]; to approach, accost [a person]",abordo,abordas,aborda,abordamos,abordáis,abordan,abordando,abordado,abordaré,abordarás,abordará,abordaremos,abordaréis,abordarán,abordando,abordado,abordaba,abordabas,abordaba,abordábamos,abordabais,abordaban,abordando,abordado,abordé,abordaste,abordó,abordamos,abordasteis,abordaron,abordando,abordado,abordaría,abordarías,abordaría,abordaríamos,abordaríais,abordarían,abordando,abordado,he abordado,has abordado,ha abordado,hemos abordado,habéis abordado,han abordado,abordando,abordado,habré abordado,habrás abordado,habrá abordado,habremos abordado,habréis abordado,habrán abordado,abordando,abordado,había abordado,habías abordado,había abordado,habíamos abordado,habíais abordado,habían abordado,abordando,abordado,hube abordado,hubiste abordado,hubo abordado,hubimos abordado,hubisteis abordado,hubieron abordado,abordando,abordado,habría abordado,habrías abordado,habría abordado,habríamos abordado,habríais abordado,habrían abordado,abordando,abordado,aborde,abordes,aborde,abordemos,abordéis,aborden,abordando,abordado,abordara,abordaras,abordara,abordáramos,abordarais,abordaran,abordando,abordado,abordare,abordares,abordare,abordáremos,abordareis,abordaren,abordando,abordado,haya abordado,hayas abordado,haya abordado,hayamos abordado,hayáis abordado,hayan abordado,abordando,abordado,hubiere abordado,hubieres abordado,hubiere abordado,hubiéremos abordado,hubiereis abordado,hubieren abordado,abordando,abordado,hubiera abordado,hubieras abordado,hubiera abordado,hubiéramos abordado,hubierais abordado,hubieran abordado,abordando,abordado,aborda,abordad,aborde,aborden,abordando,abordado,no abordes,no abordéis,no aborde,no aborden,abordando,abordado,abordar,2
abortar,"to abort, cause to miscarry; to have a miscarriage",aborto,abortas,aborta,abortamos,abortáis,abortan,abortando,abortado,abortaré,abortarás,abortará,abortaremos,abortaréis,abortarán,abortando,abortado,abortaba,abortabas,abortaba,abortábamos,abortabais,abortaban,abortando,abortado,aborté,abortaste,abortó,abortamos,abortasteis,abortaron,abortando,abortado,abortaría,abortarías,abortaría,abortaríamos,abortaríais,abortarían,abortando,abortado,he abortado,has abortado,ha abortado,hemos abortado,habéis abortado,han abortado,abortando,abortado,habré abortado,habrás abortado,habrá abortado,habremos abortado,habréis abortado,habrán abortado,abortando,abortado,había abortado,habías abortado,había abortado,habíamos abortado,habíais abortado,habían abortado,abortando,abortado,hube abortado,hubiste abortado,hubo abortado,hubimos abortado,hubisteis abortado,hubieron abortado,abortando,abortado,habría abortado,habrías abortado,habría abortado,habríamos abortado,habríais abortado,habrían abortado,abortando,abortado,aborte,abortes,aborte,abortemos,abortéis,aborten,abortando,abortado,abortara,abortaras,abortara,abortáramos,abortarais,abortaran,abortando,abortado,abortare,abortares,abortare,abortáremos,abortareis,abortaren,abortando,abortado,haya abortado,hayas abortado,haya abortado,hayamos abortado,hayáis abortado,hayan abortado,abortando,abortado,hubiere abortado,hubieres abortado,hubiere abortado,hubiéremos abortado,hubiereis abortado,hubieren abortado,abortando,abortado,hubiera abortado,hubieras abortado,hubiera abortado,hubiéramos abortado,hubierais abortado,hubieran abortado,abortando,abortado,aborta,abortad,aborte,aborten,abortando,abortado,no abortes,no abortéis,no aborte,no aborten,abortando,abortado,abortar,3
abrazar,"to hug, embrace",abrazo,abrazas,abraza,abrazamos,abrazáis,abrazan,abrazando,abrazado,abrazaré,abrazarás,abrazará,abrazaremos,abrazaréis,abrazarán,abrazando,abrazado,abrazaba,abrazabas,abrazaba,abrazábamos,abrazabais,abrazaban,abrazando,abrazado,abracé,abrazaste,abrazó,abrazamos,abrazasteis,abrazaron,abrazando,abrazado,abrazaría,abrazarías,abrazaría,abrazaríamos,abrazaríais,abrazarían,abrazando,abrazado,he abrazado,has abrazado,ha abrazado,hemos abrazado,habéis abrazado,han abrazado,abrazando,abrazado,habré abrazado,habrás abrazado,habrá abrazado,habremos abrazado,habréis abrazado,habrán abrazado,abrazando,abrazado,había abrazado,habías abrazado,había abrazado,habíamos abrazado,habíais abrazado,habían abrazado,abrazando,abrazado,hube abrazado,hubiste abrazado,hubo abrazado,hubimos abrazado,hubisteis abrazado,hubieron abrazado,abrazando,abrazado,habría abrazado,habrías abrazado,habría abrazado,habríamos abrazado,habríais abrazado,habrían abrazado,abrazando,abrazado,abrace,abraces,abrace,abracemos,abracéis,abracen,abrazando,abrazado,abrazara,abrazaras,abrazara,abrazáramos,abrazarais,abrazaran,abrazando,abrazado,abrazare,abrazares,abrazare,abrazáremos,abrazareis,abrazaren,abrazando,abrazado,haya abrazado,hayas abrazado,haya abrazado,hayamos abrazado,hayáis abrazado,hayan abrazado,abrazando,abrazado,hubiere abrazado,hubieres abrazado,hubiere abrazado,hubiéremos abrazado,hubiereis abrazado,hubieren abrazado,abrazando,abrazado,hubiera abrazado,hubieras abrazado,hubiera abrazado,hubiéramos abrazado,hubierais abrazado,hubieran abrazado,abrazando,abrazado,abraza,abrazad,abrace,abracen,abrazando,abrazado,no abraces,no abracéis,no abrace,no abracen,abrazando,abrazado,abrazar,4
abrir,to open,abro,abres,abre,abrimos,abrís,abren,abriendo,abierto,abriré,abrirás,abrirá,abriremos,abriréis,abrirán,abriendo,abierto,abría,abrías,abría,abríamos,abríais,abrían,abriendo,abierto,abrí,abriste,abrió,abrimos,abristeis,abrieron,abriendo,abierto,abriría,abrirías,abriría,abriríamos,abriríais,abrirían,abriendo,abierto,he abierto,has abierto,ha abierto,hemos abierto,habéis abierto,han abierto,abriendo,abierto,habré abierto,habrás abierto,habrá abierto,habremos abierto,habréis abierto,habrán abierto,abriendo,abierto,había abierto,habías abierto,había abierto,habíamos abierto,habíais abierto,habían abierto,abriendo,abierto,hube abierto,hubiste abierto,hubo abierto,hubimos abierto,hubisteis abierto,hubieron abierto,abriendo,abierto,habría abierto,habrías abierto,habría abierto,habríamos abierto,habríais abierto,habrían abierto,abriendo,abierto,abra,abras,abra,abramos,abráis,abran,abriendo,abierto,abriera,abrieras,abriera,abriéramos,abrierais,abrieran,abriendo,abierto,abriere,abrieres,abriere,abriéremos,abriereis,abrieren,abriendo,abierto,haya abierto,hayas abierto,haya abierto,hayamos abierto,hayáis abierto,hayan abierto,abriendo,abierto,hubiere abierto,hubieres abierto,hubiere abierto,hubiéremos abierto,hubiereis abierto,hubieren abierto,abriendo,abierto,hubiera abierto,hubieras abierto,hubiera abierto,hubiéramos abierto,hubierais abierto,hubieran abierto,abriendo,abierto,abre,abrid,abra,abran,abriendo,abierto,no abras,no abráis,no abra,no abran,abriendo,abierto,abrir,5
aburrir,"to bore; to tire, weary",aburro,aburres,aburre,aburrimos,aburrís,aburren,aburriendo,aburrido,aburriré,aburrirás,aburrirá,aburriremos,aburriréis,aburrirán,aburriendo,aburrido,aburría,aburrías,aburría,aburríamos,aburríais,aburrían,aburriendo,aburrido,aburrí,aburriste,aburrió,aburrimos,aburristeis,aburrieron,aburriendo,aburrido,aburriría,aburrirías,aburriría,aburriríamos,aburriríais,aburrirían,aburriendo,aburrido,he aburrido,has aburrido,ha aburrido,hemos aburrido,habéis aburrido,han aburrido,aburriendo,aburrido,habré aburrido,habrás aburrido,habrá aburrido,habremos aburrido,habréis aburrido,habrán aburrido,aburriendo,aburrido,había aburrido,habías aburrido,había aburrido,habíamos aburrido,habíais aburrido,habían aburrido,aburriendo,aburrido,hube aburrido,hubiste aburrido,hubo aburrido,hubimos aburrido,hubisteis aburrido,hubieron aburrido,aburriendo,aburrido,habría aburrido,habrías aburrido,habría aburrido,habríamos aburrido,habríais aburrido,habrían aburrido,aburriendo,aburrido,aburra,aburras,aburra,aburramos,aburráis,aburran,aburriendo,aburrido,aburriera,aburrieras,aburriera,aburriéramos,aburrierais,aburrieran,aburriendo,aburrido,aburriere,aburrieres,aburriere,aburriéremos,aburriereis,aburrieren,aburriendo,aburrido,haya aburrido,hayas aburrido,haya aburrido,hayamos aburrido,hayáis aburrido,hayan aburrido,aburriendo,aburrido,hubiere aburrido,hubieres aburrido,hubiere aburrido,hubiéremos aburrido,hubiereis aburrido,hubieren aburrido,aburriendo,aburrido,hubiera aburrido,hubieras aburrido,hubiera aburrido,hubiéramos aburrido,hubierais aburrido,hubieran aburrido,aburriendo,aburrido,aburre,aburrid,aburra,aburran,aburriendo,aburrido,no aburras,no aburráis,no aburra,no aburran,aburriendo,aburrido,aburrir,6
aburrirse,"to get bored, become bored, be bored",me aburro,te aburres,se aburre,nos aburrimos,os aburrís,se aburren,aburriéndose,aburrido,me aburriré,te aburrirás,se aburrirá,nos aburriremos,os aburriréis,se aburrirán,aburriéndose,aburrido,me aburría,te aburrías,se aburría,nos aburríamos,os aburríais,se aburrían,aburriéndose,aburrido,me aburrí,te aburriste,se aburrió,nos aburrimos,os aburristeis,se aburrieron,aburriéndose,aburrido,me aburriría,te aburrirías,se aburriría,nos aburriríamos,os aburriríais,se aburrirían,aburriéndose,aburrido,me he aburrido,te has aburrido,se ha aburrido,nos hemos aburrido,os habéis aburrido,se han aburrido,aburriéndose,aburrido,me habré aburrido,te habrás aburrido,se habrá aburrido,nos habremos aburrido,os habréis aburrido,se habrán aburrido,aburriéndose,aburrido,me había aburrido,te habías aburrido,se había aburrido,nos habíamos aburrido,os habíais aburrido,se habían aburrido,aburriéndose,aburrido,me hube aburrido,te hubiste aburrido,se hubo aburrido,nos hubimos aburrido,os hubisteis aburrido,se hubieron aburrido,aburriéndose,aburrido,me habría aburrido,te habrías aburrido,se habría aburrido,nos habríamos aburrido,os habríais aburrido,se habrían aburrido,aburriéndose,aburrido,me aburra,te aburras,se aburra,nos aburramos,os aburráis,se aburran,aburriéndose,aburrido,me aburriera,te aburrieras,se aburriera,nos aburriéramos,os aburrierais,se aburrieran,aburriéndose,aburrido,me aburriere,te aburrieres,se aburriere,nos aburriéremos,os aburriereis,se aburrieren,aburriéndose,aburrido,me haya aburrido,te hayas aburrido,se haya aburrido,nos hayamos aburrido,os hayáis aburrido,se hayan aburrido,aburriéndose,aburrido,me hubiere aburrido,te hubieres aburrido,se hubiere aburrido,nos hubiéremos aburrido,os hubiereis aburrido,se hubieren aburrido,aburriéndose,aburrido,me hubiera aburrido,te hubieras aburrido,se hubiera aburrido,nos hubiéramos aburrido,os hubierais aburrido,se hubieran aburrido,aburriéndose,aburrido,abúrrete,aburríos,abúrrase,abúrranse,aburriéndose,aburrido,no te aburras,no os aburráis,no se aburra,no se aburran,aburriéndose,aburrido,aburrirse,7
abusar,"to go too far, take advantage",abuso,abusas,abusa,abusamos,abusáis,abusan,abusando,abusado,abusaré,abusarás,abusará,abusaremos,abusaréis,abusarán,abusando,abusado,abusaba,abusabas,abusaba,abusábamos,abusabais,abusaban,abusando,abusado,abusé,abusaste,abusó,abusamos,abusasteis,abusaron,abusando,abusado,abusaría,abusarías,abusaría,abusaríamos,abusaríais,abusarían,abusando,abusado,he abusado,has abusado,ha abusado,hemos abusado,habéis abusado,han abusado,abusando,abusado,habré abusado,habrás abusado,habrá abusado,habremos abusado,habréis abusado,habrán abusado,abusando,abusado,había abusado,habías abusado,había abusado,habíamos abusado,habíais abusado,habían abusado,abusando,abusado,hube abusado,hubiste abusado,hubo abusado,hubimos abusado,hubisteis abusado,hubieron abusado,abusando,abusado,habría abusado,habrías abusado,habría abusado,habríamos abusado,habríais abusado,habrían abusado,abusando,abusado,abuse,abuses,abuse,abusemos,abuséis,abusen,abusando,abusado,abusara,abusaras,abusara,abusáramos,abusarais,abusaran,abusando,abusado,abusare,abusares,abusare,abusáremos,abusareis,abusaren,abusando,abusado,haya abusado,hayas abusado,haya abusado,hayamos abusado,hayáis abusado,hayan abusado,abusando,abusado,hubiere abusado,hubieres abusado,hubiere abusado,hubiéremos abusado,hubiereis abusado,hubieren abusado,abusando,abusado,hubiera abusado,hubieras abusado,hubiera abusado,hubiéramos abusado,hubierais abusado,hubieran abusado,abusando,abusado,abusa,abusad,abuse,abusen,abusando,abusado,no abuses,no abuséis,no abuse,no abusen,abusando,abusado,abusar,8
acabar,"to finish, end",acabo,acabas,acaba,acabamos,acabáis,acaban,acabando,acabado,acabaré,acabarás,acabará,acabaremos,acabaréis,acabarán,acabando,acabado,acababa,acababas,acababa,acabábamos,acababais,acababan,acabando,acabado,acabé,acabaste,acabó,acabamos,acabasteis,acabaron,acabando,acabado,acabaría,acabarías,acabaría,acabaríamos,acabaríais,acabarían,acabando,acabado,he acabado,has acabado,ha acabado,hemos acabado,habéis acabado,han acabado,acabando,acabado,habré acabado,habrás acabado,habrá acabado,habremos acabado,habréis acabado,habrán acabado,acabando,acabado,había acabado,habías acabado,había acabado,habíamos acabado,habíais acabado,habían acabado,acabando,acabado,hube acabado,hubiste acabado,hubo acabado,hubimos acabado,hubisteis acabado,hubieron acabado,acabando,acabado,habría acabado,habrías acabado,habría acabado,habríamos acabado,habríais acabado,habrían acabado,acabando,acabado,acabe,acabes,acabe,acabemos,acabéis,acaben,acabando,acabado,acabara,acabaras,acabara,acabáramos,acabarais,acabaran,acabando,acabado,acabare,acabares,acabare,acabáremos,acabareis,acabaren,acabando,acabado,haya acabado,hayas acabado,haya acabado,hayamos acabado,hayáis acabado,hayan acabado,acabando,acabado,hubiere acabado,hubieres acabado,hubiere acabado,hubiéremos acabado,hubiereis acabado,hubieren acabado,acabando,acabado,hubiera acabado,hubieras acabado,hubiera acabado,hubiéramos acabado,hubierais acabado,hubieran acabado,acabando,acabado,acaba,acabad,acabe,acaben,acabando,acabado,no acabes,no acabéis,no acabe,no acaben,acabando,acabado,acabar,9
acampar,"to camp, encamp, go camping",acampo,acampas,acampa,acampamos,acampáis,acampan,acampando,acampado,acamparé,acamparás,acampará,acamparemos,acamparéis,acamparán,acampando,acampado,acampaba,acampabas,acampaba,acampábamos,acampabais,acampaban,acampando,acampado,acampé,acampaste,acampó,acampamos,acampasteis,acamparon,acampando,acampado,acamparía,acamparías,acamparía,acamparíamos,acamparíais,acamparían,acampando,acampado,he acampado,has acampado,ha acampado,hemos acampado,habéis acampado,han acampado,acampando,acampado,habré acampado,habrás acampado,habrá acampado,habremos acampado,habréis acampado,habrán acampado,acampando,acampado,había acampado,habías acampado,había acampado,habíamos acampado,habíais acampado,habían acampado,acampando,acampado,hube acampado,hubiste acampado,hubo acampado,hubimos acampado,hubisteis acampado,hubieron acampado,acampando,acampado,habría acampado,habrías acampado,habría acampado,habríamos acampado,habríais acampado,habrían acampado,acampando,acampado,acampe,acampes,acampe,acampemos,acampéis,acampen,acampando,acampado,acampara,acamparas,acampara,acampáramos,acamparais,acamparan,acampando,acampado,acampare,acampares,acampare,acampáremos,acampareis,acamparen,acampando,acampado,haya acampado,hayas acampado,haya acampado,hayamos acampado,hayáis acampado,hayan acampado,acampando,acampado,hubiere acampado,hubieres acampado,hubiere acampado,hubiéremos acampado,hubiereis acampado,hubieren acampado,acampando,acampado,hubiera acampado,hubieras acampado,hubiera acampado,hubiéramos acampado,hubierais acampado,hubieran acampado,acampando,acampado,acampa,acampad,acampe,acampen,acampando,acampado,no acampes,no acampéis,no acampe,no acampen,acampando,acampado,acampar,10
